(stop - start) * cost.,(Dừng - Bắt đầu) * Chi phí.
$,$.
A brief description of the lab,Một mô tả ngắn gọn về lab
About,Về
Accept,Chấp nhận
Accept Bribe?,Chấp nhận hối lộ?
Accept this bribe?,Chấp nhận hối lộ này?
Accepted,Đã được chấp nhận
Accepted / In Jail,Chấp nhận / trong tù
Account Locked!,Tài khoản bị khóa!
Account Password,Mật khẩu tài khoản
Active Bots,Bot hoạt động
Add,cộng
Add,cộng
add,cộng
Add a Category for labes.,Thêm một danh mục cho Labes.
Add Flags,Thêm flag
Add Hint,Thêm Gợi ý
Add IP address,Thêm địa chỉ IP
Add IP Address,Thêm địa chỉ IP
add some,điền thêm
Add Source Code,Thêm mã nguồn
Add Source Code to Market,Thêm mã nguồn vào thị trường
Add to Market,Thêm vào thị trường
Address,Địa chỉ nhà
Admin,quản trị viên
Admin Home,Quản trị viên
Admin Message,Tin nhắn quản trị viên
Admin Notes,Ghi chú quản trị viên.
Administrator Panel,Quản trị viên
Admins,Quản trị viên.
All Notifications,Tất cả các thông báo
and logos in export.,và logo trong xuất khẩu.
and so on,và như thế
Apply penalty on attempt,Áp dụng hình phạt về nỗ lực
Are you a Cylon?,Bạn có phải là một cylon?
Are You Elite,Bạn có elite.
Are you sure you want to buy this code?,Bạn có chắc chắn muốn mua mã này?
Are you sure you want to delete this lab?,Bạn có chắc chắn muốn xóa lab này?
Are you sure you want to delete this category?,Bạn có chắc chắn muốn xóa danh mục này?
Are you sure you want to delete this corporation?,Bạn có chắc chắn muốn xóa tổ chức này?
Are you sure you want to delete this file?,Bạn có chắc chắn muốn xóa tập tin này?
Are you sure you want to delete this flag?,Bạn có chắc chắn muốn xóa flag này?
Are you sure you want to delete this game level?,Bạn có chắc chắn muốn xóa cấp độ trò chơi này?
Are you sure you want to delete this hint?,Bạn có chắc chắn muốn xóa gợi ý này?
Are you sure you want to delete this IP address?,Bạn có chắc chắn muốn xóa địa chỉ IP này?
Are you sure you want to delete this source code?,Bạn có chắc chắn muốn xóa mã nguồn này?
Are you sure you want to delete this user?,Bạn có chắc chắn muốn xóa người dùng này?
Are you sure you want to delete?,Bạn có chắc chắn muốn xóa?
Arrest Player,Người chơi bắt giữ
attempt,nỗ lực
attempt and continue until the,cố gắng và tiếp tục cho đến khi
